date,source,title,Sentiment,Polarity
2025-06-27,New York Post,"S&P 500, Nasdaq hit record highs on renewed AI enthusiasm, rate-cut hope",Neutral,0.0
2025-06-27,GlobeNewswire,"Three powertrains, three benchmark times: Panamera Turbo S E-Hybrid and Cayenne Turbo GT Set Lap Records at Road Atlanta",Neutral,0.0
2025-06-27,Slashdot.org,Stock Market Today: Dow Jones Rises On U.S-China Trade Deal News; Fed Inflation Data Next (Live Coverage) - Investor's Business Daily,Positive,0.04545454545454545
2025-06-27,The Times of India,"Sebi confirms multiple raids in 'pump-and-dump' case, investigation ongoing",Neutral,0.0
2025-06-27,Biztoc.com,"Tech Stock Rally Is Just Beginning, Wedbush's Ives Says",Neutral,0.0
2025-06-27,Biztoc.com,Why the terrible year for Google stock may be overblown,Negative,-1.0
2025-06-27,Biztoc.com,Stock Market Today: Dow Jones Rises On U.S.-China Trade Deal News; Fed Inflation Data Comes In Hot (Live Coverage),Positive,0.19318181818181818
2025-06-27,Biztoc.com,"Nike stock surges as company forecasts smaller sales, profit drops while tariff costs near $1 billion",Positive,0.05
2025-06-27,Biztoc.com,"Nike Stock Receives Upgrade, Target Hikes On Turnaround Efforts",Neutral,0.0
2025-06-27,Biztoc.com,5 Ways To Invest in the Tesla Ecosystem and Maximize Your Returns,Neutral,0.0
2025-06-27,Biztoc.com,"Stocks to Watch Friday: Nike, Xiaomi, MP Materials",Neutral,0.0
2025-06-27,Biztoc.com,Here's How Much You Would Have Made Owning Brown & Brown Stock In The Last 5 Years,Positive,0.1
2025-06-27,Biztoc.com,Stock Market Today: Dow Jones Rises On U.S-China Trade Deal News; Fed Inflation Data Next (Live Coverage),Positive,0.06818181818181818
2025-06-27,Biztoc.com,5 Things to Know Before the Stock Market Opens,Neutral,0.0
2025-06-27,Biztoc.com,P/E Ratio Insights for TJX Companies,Neutral,0.0
2025-06-27,The Star Online,"Asean News Headlines at 10pm on Friday (June 27, 2025)",Neutral,0.0
2025-06-27,The Times of India,"BHEL bags Rs 6,500 crore order from Adani Power",Neutral,0.0
2025-06-27,NPR,Stocks hit a new record high after markets open for trading,Positive,0.0987878787878788
2025-06-27,CNBC,Nvidia heads for 5-day win streak as it hits record highs,Positive,0.8
